,Localitate,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica,Siruta,Judet,Populatie
155,Stanesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82136,gj,2231
156,Stanesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105295,gr,2638
157,Stanesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173132,vl,1204
158,Garceni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164062,vs,2573
159,Ion Creanga,470615.0,530353.0,0.0,0.0,0.0,300021.0,0.0,0.0,0.0,123102,nt,5793
160,Harsesti,0.0,13047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16613,ag,2286
161,Orastioara De Sus,0.0,0.0,33630.0,0.0,0.0,0.0,0.0,0.0,0.0,90342,hd,2158
162,Vidra,1297054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8425,ab,1658
163,Vidra,1297054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105936,if,8401
164,Vidra,1297054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178377,vn,7380
165,Vidra,485766.0,252401.0,13505147.0,82837.0,0.0,0.0,0.0,0.0,0.0,8425,ab,1658
166,Vidra,485766.0,252401.0,13505147.0,82837.0,0.0,0.0,0.0,0.0,0.0,105936,if,8401
167,Vidra,485766.0,252401.0,13505147.0,82837.0,0.0,0.0,0.0,0.0,0.0,178377,vn,7380
168,Vidra,0.0,10741.0,205045.0,301683.0,0.0,26068400.0,0.0,0.0,719380.0,8425,ab,1658
169,Vidra,0.0,10741.0,205045.0,301683.0,0.0,26068400.0,0.0,0.0,719380.0,105936,if,8401
170,Vidra,0.0,10741.0,205045.0,301683.0,0.0,26068400.0,0.0,0.0,719380.0,178377,vn,7380
171,Municipiul Tarnaveni,6652054.0,14078639.0,697130.0,0.0,0.0,48429666.0,0.0,1106784.0,36333.0,114925,ms,26500
172,Feleacu,3320295.0,990.0,196967.0,0.0,0.0,0.0,15850.0,2814875.0,861107.0,57582,cj,3766
173,Pesceana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172279,vl,1641
174,Chiochis,0.0,213063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33015,bn,2940
175,Oras Borsa,5812286.0,132418.0,31325692.0,0.0,0.0,0.0,0.0,4910153.0,0.0,106746,mm,29881
176,Carlibaba,0.0,0.0,414513.0,0.0,0.0,0.0,0.0,0.0,0.0,147713,sv,1935
177,Rachitoasa,0.0,0.0,145158.0,0.0,0.0,0.0,0.0,0.0,0.0,24837,bc,4909
178,Biled,136771.0,0.0,0.0,0.0,0.0,19623662.0,0.0,0.0,0.0,155911,tm,4049
179,Oras Comarnic,7404386.0,1332984.0,3194838.0,0.0,865801.0,290911.0,0.0,0.0,0.0,131336,ph,12480
180,Sadova,43344.0,69434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73996,dj,8734
181,Sadova,43344.0,69434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150178,sv,2508
182,Sadova,418362.0,0.0,20203924.0,0.0,0.0,0.0,0.0,0.0,0.0,73996,dj,8734
183,Sadova,418362.0,0.0,20203924.0,0.0,0.0,0.0,0.0,0.0,0.0,150178,sv,2508
184,Hartiesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16659,ag,2290
185,Acatari,0.0,1186773.0,0.0,0.0,0.0,167148.0,0.0,5298267.0,0.0,114970,ms,4813
186,Scutelnici,3178457.0,0.0,0.0,0.0,0.0,108342.0,0.0,0.0,0.0,49439,bz,2322
187,Oras Cavnic,2135705.0,404888.0,3027101.0,0.0,0.0,0.0,0.0,0.0,0.0,106782,mm,5255
188,Homorod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41248,bv,2590
189,Margineni,15438.0,0.0,361560.0,0.0,0.0,0.0,0.0,0.0,0.0,20466,bc,9863
190,Margineni,15438.0,0.0,361560.0,0.0,0.0,0.0,0.0,0.0,0.0,123175,nt,3881
191,Margineni,836920.0,17199.0,166061.0,0.0,0.0,4867452.0,0.0,9595993.0,43973.0,20466,bc,9863
192,Margineni,836920.0,17199.0,166061.0,0.0,0.0,4867452.0,0.0,9595993.0,43973.0,123175,nt,3881
193,Grivita,82140.0,34882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76558,gl,3848
194,Grivita,82140.0,34882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93735,il,3446
195,Grivita,82140.0,34882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164133,vs,3680
196,Grivita,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76558,gl,3848
197,Grivita,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93735,il,3446
198,Grivita,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164133,vs,3680
199,Grivita,0.0,0.0,19248.0,0.0,0.0,0.0,0.0,0.0,0.0,76558,gl,3848
200,Grivita,0.0,0.0,19248.0,0.0,0.0,0.0,0.0,0.0,0.0,93735,il,3446
201,Grivita,0.0,0.0,19248.0,0.0,0.0,0.0,0.0,0.0,0.0,164133,vs,3680
202,Prisacani,0.0,0.0,185663.0,0.0,0.0,0.0,0.0,0.0,0.0,98603,is,3472
203,Fizesu Gherlii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57644,cj,2677
204,Salcuta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74028,dj,2162
205,Municipiul Moreni,2166032.0,22099622.0,1265466.0,0.0,0.0,12600060.0,5725.0,854933.0,0.0,65841,db,20524
206,Pietrari,14742361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172340,vl,2954
207,Pietrari,14742361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179908,db,2417
208,Pietrari,21021706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172340,vl,2954
209,Pietrari,21021706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179908,db,2417
210,Barna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155957,tm,1567
211,Pestisu Mic,0.0,6280714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90431,hd,1152
212,Oras Targu Lapus,3482517.0,1990454.0,18892638.0,0.0,0.0,0.0,0.0,427370607.0,0.0,106817,mm,13219
213,Stejari,849515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82243,gj,2412
214,Jibert,195901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41284,bv,2735
215,Cornu Luncii,27468798.0,0.0,23913955.0,0.0,0.0,0.0,0.0,1123636.0,0.0,147786,sv,7389
216,Siriu,0.0,0.0,824084.0,0.0,0.0,0.0,0.0,0.0,0.0,49484,bz,3233
217,Iedera,0.0,0.0,19720.0,0.0,0.0,0.0,0.0,0.0,0.0,65869,db,3958
218,Oras Mizil,155379357.0,33843234.0,7820.0,0.0,0.0,2395644.0,0.0,1138609.0,686.0,131407,ph,16496
219,Scaesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74073,dj,2097
220,Probota,0.0,0.0,0.0,0.0,0.0,0.0,3504.0,0.0,0.0,98649,is,3761
221,Moldoveni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123228,nt,2173
222,Moldoveni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179999,il,1109
223,Moldoveni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123228,nt,2173
224,Moldoveni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179999,il,1109
225,Chiuza,0.0,0.0,1778575.0,0.0,0.0,0.0,0.0,0.0,0.0,33122,bn,2223
226,Izvoru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16739,ag,2199
227,Hoceni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164197,vs,2839
228,Floresti,58500322.0,22009207.0,3538295.0,12560354.0,0.0,6689194.0,1519046.0,2624944.0,3998.0,57706,cj,28163
229,Floresti,58500322.0,22009207.0,3538295.0,12560354.0,0.0,6689194.0,1519046.0,2624944.0,3998.0,111685,mh,2586
230,Floresti,58500322.0,22009207.0,3538295.0,12560354.0,0.0,6689194.0,1519046.0,2624944.0,3998.0,133330,ph,7894
231,Floresti,147715.0,0.0,0.0,0.0,595018.0,44349002.0,0.0,0.0,0.0,57706,cj,28163
232,Floresti,147715.0,0.0,0.0,0.0,595018.0,44349002.0,0.0,0.0,0.0,111685,mh,2586
233,Floresti,147715.0,0.0,0.0,0.0,595018.0,44349002.0,0.0,0.0,0.0,133330,ph,7894
234,Floresti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57706,cj,28163
235,Floresti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111685,mh,2586
236,Floresti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133330,ph,7894
237,Oras Plopeni,20172456.0,9649687.0,397266.0,0.0,0.0,8231636.0,0.0,781363.0,0.0,131443,ph,9081
238,Leordeni,0.0,4521771.0,506614.0,0.0,291822.0,0.0,0.0,0.0,0.0,16757,ag,5707
239,Oniceni,0.0,0.0,237786.0,0.0,0.0,0.0,0.0,0.0,0.0,123255,nt,3730
240,Raducaneni,942055.0,470738.0,95417.0,0.0,0.0,0.0,0.0,0.0,0.0,98685,is,9248
241,Seaca De Camp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74108,dj,1856
